# Time(s)     R            T            Z
 0.00000e+00 -1.54090e-02  4.68084e-03 -1.03261e-02
 1.00000e-03 -1.48901e-02  4.80320e-03 -9.67806e-03
 2.00000e-03 -1.43836e-02  4.93507e-03 -9.08468e-03
 3.00000e-03 -1.38232e-02  5.07622e-03 -8.40541e-03
 4.00000e-03 -1.32763e-02  5.22644e-03 -7.78283e-03
 5.00000e-03 -1.26765e-02  5.38546e-03 -7.07631e-03
 6.00000e-03 -1.20914e-02  5.55304e-03 -6.42846e-03
 7.00000e-03 -1.14545e-02  5.72885e-03 -5.69855e-03
 8.00000e-03 -1.08335e-02  5.91260e-03 -5.02922e-03
 9.00000e-03 -1.01619e-02  6.10395e-03 -4.27960e-03
 1.00000e-02 -9.50728e-03  6.30255e-03 -3.59237e-03
 1.10000e-02 -8.80320e-03  6.50800e-03 -2.82650e-03
 1.20000e-02 -8.11748e-03  6.71994e-03 -2.12470e-03
 1.30000e-02 -7.38349e-03  6.93792e-03 -1.34583e-03
 1.40000e-02 -6.66919e-03  7.16154e-03 -6.32626e-04
 1.50000e-02 -5.90797e-03  7.39031e-03  1.56170e-04
 1.60000e-02 -5.16790e-03  7.62380e-03  8.77767e-04
 1.70000e-02 -4.38241e-03  7.86151e-03  1.67350e-03
 1.80000e-02 -3.61968e-03  8.10295e-03  2.40051e-03
 1.90000e-02 -2.81321e-03  8.34759e-03  3.20019e-03
 2.00000e-02 -2.03134e-03  8.59494e-03  3.92956e-03
 2.10000e-02 -1.20764e-03  8.84443e-03  4.73006e-03
 2.20000e-02 -4.10624e-04  9.09553e-03  5.45857e-03
 2.30000e-02  4.26029e-04  9.34766e-03  6.25655e-03
 2.40000e-02  1.23363e-03  9.60026e-03  6.98072e-03
 2.50000e-02  2.07838e-03  9.85271e-03  7.77252e-03
 2.60000e-02  2.89139e-03  1.01044e-02  8.48849e-03
 2.70000e-02  3.73875e-03  1.03547e-02  9.27007e-03
 2.80000e-02  4.55138e-03  1.06031e-02  9.97359e-03
 2.90000e-02  5.39524e-03  1.08487e-02  1.07405e-02
 3.00000e-02  6.20106e-03  1.10909e-02  1.14269e-02
 3.10000e-02  7.03472e-03  1.13291e-02  1.21742e-02
 3.20000e-02  7.82677e-03  1.15625e-02  1.28384e-02
 3.30000e-02  8.64301e-03  1.17904e-02  1.35609e-02
 3.40000e-02  9.41385e-03  1.20120e-02  1.41974e-02
 3.50000e-02  1.02051e-02  1.22265e-02  1.48895e-02
 3.60000e-02  1.09469e-02  1.24333e-02  1.54929e-02
 3.70000e-02  1.17053e-02  1.26314e-02  1.61489e-02
 3.80000e-02  1.24104e-02  1.28202e-02  1.67133e-02
 3.90000e-02  1.31280e-02  1.29988e-02  1.73277e-02
 4.00000e-02  1.37885e-02  1.31666e-02  1.78476e-02
 4.10000e-02  1.44579e-02  1.33227e-02  1.84147e-02
 4.20000e-02  1.50666e-02  1.34664e-02  1.88849e-02
 4.30000e-02  1.56806e-02  1.35970e-02  1.93999e-02
 4.40000e-02  1.62306e-02  1.37140e-02  1.98156e-02
 4.50000e-02  1.67831e-02  1.38167e-02  2.02742e-02
 4.60000e-02  1.72688e-02  1.39045e-02  2.06315e-02
 4.70000e-02  1.77545e-02  1.39771e-02  2.10301e-02
 4.80000e-02  1.81713e-02  1.40340e-02  2.13261e-02
 4.90000e-02  1.85864e-02  1.40749e-02  2.16624e-02
 5.00000e-02  1.89312e-02  1.40995e-02  2.18953e-02
 5.10000e-02  1.92733e-02  1.41078e-02  2.21681e-02
 5.20000e-02  1.95445e-02  1.40997e-02  2.23372e-02
 5.30000e-02  1.98129e-02  1.40751e-02  2.25465e-02
 5.40000e-02  2.00105e-02  1.40343e-02  2.26525e-02
 5.50000e-02  2.02060e-02  1.39775e-02  2.27996e-02
 5.60000e-02  2.03318e-02  1.39050e-02  2.28445e-02
 5.70000e-02  2.04567e-02  1.38171e-02  2.29319e-02
 5.80000e-02  2.05137e-02  1.37144e-02  2.29187e-02
 5.90000e-02  2.05720e-02  1.35975e-02  2.29499e-02
 6.00000e-02  2.05646e-02  1.34669e-02  2.28827e-02
 6.10000e-02  2.05611e-02  1.33234e-02  2.28623e-02
 6.20000e-02  2.04948e-02  1.31677e-02  2.27459e-02
 6.30000e-02  2.04356e-02  1.30005e-02  2.26789e-02
 6.40000e-02  2.03167e-02  1.28228e-02  2.25188e-02
 6.50000e-02  2.02081e-02  1.26354e-02  2.24109e-02
 6.60000e-02  2.00433e-02  1.24390e-02  2.22128e-02
 6.70000e-02  1.98923e-02  1.22347e-02  2.20700e-02
 6.80000e-02  1.96886e-02  1.20233e-02  2.18398e-02
 6.90000e-02  1.95021e-02  1.18057e-02  2.16679e-02
 7.00000e-02  1.92663e-02  1.15827e-02  2.14115e-02
 7.10000e-02  1.90511e-02  1.13553e-02  2.12163e-02
 7.20000e-02  1.87898e-02  1.11242e-02  2.09393e-02
 7.30000e-02  1.85522e-02  1.08902e-02  2.07262e-02
 7.40000e-02  1.82716e-02  1.06542e-02  2.04339e-02
 7.50000e-02  1.80176e-02  1.04169e-02  2.02080e-02
 7.60000e-02  1.77231e-02  1.01789e-02  1.99052e-02
 7.70000e-02  1.74579e-02  9.94102e-03  1.96711e-02
 7.80000e-02  1.71546e-02  9.70383e-03  1.93621e-02
 7.90000e-02  1.68828e-02  9.46790e-03  1.91238e-02
 8.00000e-02  1.65748e-02  9.23381e-03  1.88124e-02
 8.10000e-02  1.63002e-02  9.00206e-03  1.85734e-02
 8.20000e-02  1.59911e-02  8.77313e-03  1.82628e-02
 8.30000e-02  1.57168e-02  8.54742e-03  1.80260e-02
 8.40000e-02  1.54094e-02  8.32535e-03  1.77188e-02
 8.50000e-02  1.51380e-02  8.10723e-03  1.74867e-02
 8.60000e-02  1.48344e-02  7.89339e-03  1.71852e-02
 8.70000e-02  1.45676e-02  7.68407e-03  1.69596e-02
 8.80000e-02  1.42694e-02  7.47952e-03  1.66655e-02
 8.90000e-02  1.40086e-02  7.27990e-03  1.64480e-02
 9.00000e-02  1.37168e-02  7.08537e-03  1.61625e-02
 9.10000e-02  1.34627e-02  6.89603e-03  1.59542e-02
 9.20000e-02  1.31777e-02  6.71197e-03  1.56782e-02
 9.30000e-02  1.29306e-02  6.53320e-03  1.54798e-02
 9.40000e-02  1.26525e-02  6.35975e-03  1.52139e-02
 9.50000e-02  1.24123e-02  6.19155e-03  1.50258e-02
 9.60000e-02  1.21409e-02  6.02855e-03  1.47703e-02
 9.70000e-02  1.19071e-02  5.87063e-03  1.45927e-02
 9.80000e-02  1.16417e-02  5.71767e-03  1.43476e-02
 9.90000e-02  1.14135e-02  5.56948e-03  1.41804e-02
 1.00000e-01  1.11533e-02  5.42588e-03  1.39456e-02
 1.01000e-01  1.09298e-02  5.28662e-03  1.37885e-02
 1.02000e-01  1.06737e-02  5.15146e-03  1.35636e-02
 1.03000e-01  1.04538e-02  5.02011e-03  1.34163e-02
 1.04000e-01  1.02007e-02  4.89228e-03  1.32008e-02
 1.05000e-01  9.98309e-03  4.76763e-03  1.30627e-02
 1.06000e-01  9.73162e-03  4.64584e-03  1.28562e-02
 1.07000e-01  9.51507e-03  4.52652e-03  1.27268e-02
 1.08000e-01  9.26398e-03  4.40935e-03  1.25286e-02
 1.09000e-01  9.04719e-03  4.29393e-03  1.24073e-02
 1.10000e-01  8.79523e-03  4.17990e-03  1.22168e-02
 1.11000e-01  8.57699e-03  4.06688e-03  1.21030e-02
 1.12000e-01  8.32298e-03  3.95452e-03  1.19196e-02
 1.13000e-01  8.10218e-03  3.84244e-03  1.18126e-02
 1.14000e-01  7.84509e-03  3.73032e-03  1.16357e-02
 1.15000e-01  7.62078e-03  3.61781e-03  1.15349e-02
 1.16000e-01  7.35976e-03  3.50463e-03  1.13639e-02
 1.17000e-01  7.13117e-03  3.39047e-03  1.12687e-02
 1.18000e-01  6.86554e-03  3.27510e-03  1.11031e-02
 1.19000e-01  6.63212e-03  3.15826e-03  1.10131e-02
 1.20000e-01  6.36145e-03  3.03978e-03  1.08522e-02
 1.21000e-01  6.12287e-03  2.91947e-03  1.07669e-02
 1.22000e-01  5.84693e-03  2.79721e-03  1.06105e-02
 1.23000e-01  5.60307e-03  2.67289e-03  1.05294e-02
 1.24000e-01  5.32186e-03  2.54646e-03  1.03769e-02
 1.25000e-01  5.07281e-03  2.41784e-03  1.02997e-02
 1.26000e-01  4.78651e-03  2.28706e-03  1.01508e-02
 1.27000e-01  4.53255e-03  2.15411e-03  1.00771e-02
 1.28000e-01  4.24150e-03  2.01905e-03  9.93164e-03
 1.29000e-01  3.98305e-03  1.88193e-03  9.86116e-03
 1.30000e-01  3.68775e-03  1.74287e-03  9.71881e-03
 1.31000e-01  3.42536e-03  1.60194e-03  9.65140e-03
 1.32000e-01  3.12640e-03  1.45930e-03  9.51201e-03
 1.33000e-01  2.86068e-03  1.31506e-03  9.44755e-03
 1.34000e-01  2.55872e-03  1.16939e-03  9.31102e-03
 1.35000e-01  2.29038e-03  1.02244e-03  9.24947e-03
 1.36000e-01  1.98613e-03  8.74388e-04  9.11582e-03
 1.37000e-01  1.71590e-03  7.25387e-04  9.05723e-03
 1.38000e-01  1.41012e-03  5.75633e-04  8.92657e-03
 1.39000e-01  1.13876e-03  4.25282e-04  8.87111e-03
 1.40000e-01  8.32215e-04  2.74535e-04  8.74365e-03
 1.41000e-01  5.60513e-04  1.23547e-04  8.69159e-03
 1.42000e-01  2.54019e-04 -2.74811e-05  8.56769e-03
 1.43000e-01 -1.71995e-05 -1.78395e-04  8.51944e-03
 1.44000e-01 -3.22802e-04 -3.28999e-04  8.39957e-03
 1.45000e-01 -5.92665e-04 -4.79137e-04  8.35571e-03
 1.46000e-01 -8.96474e-04 -6.28617e-04  8.24050e-03
 1.47000e-01 -1.16405e-03 -7.77285e-04  8.20172e-03
 1.48000e-01 -1.46508e-03 -9.24947e-04  8.09198e-03
 1.49000e-01 -1.72933e-03 -1.07145e-03  8.05917e-03
 1.50000e-01 -2.02652e-03 -1.21659e-03  7.95585e-03
 1.51000e-01 -2.28631e-03 -1.36022e-03  7.93003e-03
 1.52000e-01 -2.57843e-03 -1.50214e-03  7.83425e-03
 1.53000e-01 -2.83249e-03 -1.64216e-03  7.81665e-03
 1.54000e-01 -3.11820e-03 -1.78009e-03  7.72969e-03
 1.55000e-01 -3.36509e-03 -1.91575e-03  7.72164e-03
 1.56000e-01 -3.64289e-03 -2.04891e-03  7.64493e-03
 1.57000e-01 -3.88102e-03 -2.17938e-03  7.64792e-03
 1.58000e-01 -4.14922e-03 -2.30692e-03  7.58297e-03
 1.59000e-01 -4.37684e-03 -2.43133e-03  7.59858e-03
 1.60000e-01 -4.63361e-03 -2.55235e-03  7.54702e-03
 1.61000e-01 -4.84882e-03 -2.66976e-03  7.57687e-03
 1.62000e-01 -5.09221e-03 -2.78330e-03  7.54033e-03
 1.63000e-01 -5.29299e-03 -2.89272e-03  7.58605e-03
 1.64000e-01 -5.52093e-03 -2.99776e-03  7.56612e-03
 1.65000e-01 -5.70519e-03 -3.09817e-03  7.62927e-03
 1.66000e-01 -5.91558e-03 -3.19367e-03  7.62747e-03
 1.67000e-01 -6.08122e-03 -3.28401e-03  7.70947e-03
 1.68000e-01 -6.27197e-03 -3.36890e-03  7.72711e-03
 1.69000e-01 -6.41693e-03 -3.44812e-03  7.82919e-03
 1.70000e-01 -6.58606e-03 -3.52139e-03  7.86736e-03
 1.71000e-01 -6.70844e-03 -3.58849e-03  7.99045e-03
 1.72000e-01 -6.85413e-03 -3.64917e-03  8.04994e-03
 1.73000e-01 -6.95226e-03 -3.70323e-03  8.19464e-03
 1.74000e-01 -7.07298e-03 -3.75047e-03  8.27587e-03
 1.75000e-01 -7.14547e-03 -3.79071e-03  8.44242e-03
 1.76000e-01 -7.24004e-03 -3.82380e-03  8.54540e-03
 1.77000e-01 -7.28591e-03 -3.84963e-03  8.73361e-03
 1.78000e-01 -7.35355e-03 -3.86809e-03  8.85796e-03
 1.79000e-01 -7.37228e-03 -3.87913e-03  9.06721e-03
 1.80000e-01 -7.41270e-03 -3.88270e-03  9.21211e-03
 1.81000e-01 -7.40423e-03 -3.87883e-03  9.44140e-03
 1.82000e-01 -7.41765e-03 -3.86753e-03  9.60564e-03
 1.83000e-01 -7.38244e-03 -3.84892e-03  9.85356e-03
 1.84000e-01 -7.36957e-03 -3.82309e-03  1.00355e-02
 1.85000e-01 -7.30860e-03 -3.79021e-03  1.03004e-02
 1.86000e-01 -7.27065e-03 -3.75045e-03  1.04982e-02
 1.87000e-01 -7.18534e-03 -3.70407e-03  1.07778e-02
 1.88000e-01 -7.12393e-03 -3.65130e-03  1.09893e-02
 1.89000e-01 -7.01612e-03 -3.59245e-03  1.12815e-02
 1.90000e-01 -6.93327e-03 -3.52785e-03  1.15043e-02
 1.91000e-01 -6.80511e-03 -3.45785e-03  1.18064e-02
 1.92000e-01 -6.70312e-03 -3.38283e-03  1.20379e-02
 1.93000e-01 -6.55701e-03 -3.30320e-03  1.23474e-02
 1.94000e-01 -6.43836e-03 -3.21937e-03  1.25847e-02
 1.95000e-01 -6.27685e-03 -3.13180e-03  1.28988e-02
 1.96000e-01 -6.14411e-03 -3.04091e-03  1.31392e-02
 1.97000e-01 -5.96981e-03 -2.94721e-03  1.34549e-02
 1.98000e-01 -5.82560e-03 -2.85112e-03  1.36954e-02
 1.99000e-01 -5.64109e-03 -2.75315e-03  1.40098e-02
 2.00000e-01 -5.48796e-03 -2.65376e-03  1.42474e-02
 2.01000e-01 -5.29573e-03 -2.55343e-03  1.45575e-02
 2.02000e-01 -5.13610e-03 -2.45261e-03  1.47892e-02
 2.03000e-01 -4.93852e-03 -2.35177e-03  1.50919e-02
 2.04000e-01 -4.77468e-03 -2.25135e-03  1.53148e-02
 2.05000e-01 -4.57394e-03 -2.15179e-03  1.56071e-02
 2.06000e-01 -4.40798e-03 -2.05348e-03  1.58181e-02
 2.07000e-01 -4.20607e-03 -1.95685e-03  1.60972e-02
 2.08000e-01 -4.03989e-03 -1.86224e-03  1.62934e-02
 2.09000e-01 -3.83862e-03 -1.77002e-03  1.65565e-02
 2.10000e-01 -3.67392e-03 -1.68049e-03  1.67353e-02
 2.11000e-01 -3.47488e-03 -1.59396e-03  1.69797e-02
 2.12000e-01 -3.31316e-03 -1.51068e-03  1.71386e-02
 2.13000e-01 -3.11776e-03 -1.43089e-03  1.73621e-02
 2.14000e-01 -2.96033e-03 -1.35477e-03  1.74991e-02
 2.15000e-01 -2.76979e-03 -1.28252e-03  1.76997e-02
 2.16000e-01 -2.61778e-03 -1.21423e-03  1.78130e-02
 2.17000e-01 -2.43312e-03 -1.15003e-03  1.79892e-02
 2.18000e-01 -2.28748e-03 -1.08995e-03  1.80776e-02
 2.19000e-01 -2.10958e-03 -1.03405e-03  1.82285e-02
 2.20000e-01 -1.97108e-03 -9.82289e-04  1.82911e-02
 2.21000e-01 -1.80063e-03 -9.34666e-04  1.84163e-02
 2.22000e-01 -1.66989e-03 -8.91088e-04  1.84531e-02
 2.23000e-01 -1.50743e-03 -8.51484e-04  1.85526e-02
 2.24000e-01 -1.38491e-03 -8.15710e-04  1.85639e-02
 2.25000e-01 -1.23082e-03 -7.83645e-04  1.86383e-02
 2.26000e-01 -1.11682e-03 -7.55104e-04  1.86251e-02
 2.27000e-01 -9.71326e-04 -7.29924e-04  1.86757e-02
 2.28000e-01 -8.66019e-04 -7.07885e-04  1.86393e-02
 2.29000e-01 -7.29230e-04 -6.88798e-04  1.86676e-02
 2.30000e-01 -6.32651e-04 -6.72419e-04  1.86099e-02
 2.31000e-01 -5.04543e-04 -6.58542e-04  1.86180e-02
 2.32000e-01 -4.16613e-04 -6.46912e-04  1.85412e-02
 2.33000e-01 -2.97052e-04 -6.37316e-04  1.85314e-02
 2.34000e-01 -2.17585e-04 -6.29496e-04  1.84378e-02
 2.35000e-01 -1.06339e-04 -6.23241e-04  1.84125e-02
 2.36000e-01 -3.50604e-05 -6.18302e-04  1.83048e-02
 2.37000e-01  6.81894e-05 -6.14477e-04  1.82668e-02
 2.38000e-01  1.31640e-04 -6.11530e-04  1.81477e-02
 2.39000e-01  2.27291e-04 -6.09277e-04  1.80997e-02
 2.40000e-01  2.83347e-04 -6.07502e-04  1.79718e-02
 2.41000e-01  3.71869e-04 -6.06041e-04  1.79166e-02
 2.42000e-01  4.21034e-04 -6.04701e-04  1.77827e-02
 2.43000e-01  5.02964e-04 -6.03342e-04  1.77229e-02
 2.44000e-01  5.45809e-04 -6.01797e-04  1.75858e-02
 2.45000e-01  6.21753e-04 -5.99953e-04  1.75241e-02
 2.46000e-01  6.58917e-04 -5.97666e-04  1.73864e-02
 2.47000e-01  7.29546e-04 -5.94852e-04  1.73253e-02
 2.48000e-01  7.61734e-04 -5.91393e-04  1.71896e-02
 2.49000e-01  8.27786e-04 -5.87229e-04  1.71318e-02
 2.50000e-01  8.55770e-04 -5.82269e-04  1.70004e-02
 2.51000e-01  9.18047e-04 -5.76475e-04  1.69483e-02
 2.52000e-01  9.42659e-04 -5.69778e-04  1.68238e-02
 2.53000e-01  1.00202e-03 -5.62165e-04  1.67798e-02
 2.54000e-01  1.02415e-03 -5.53587e-04  1.66645e-02
 2.55000e-01  1.08152e-03 -5.44048e-04  1.66308e-02
 2.56000e-01  1.10210e-03 -5.33516e-04  1.65268e-02
 2.57000e-01  1.15842e-03 -5.22012e-04  1.65057e-02
 2.58000e-01  1.17841e-03 -5.09520e-04  1.64152e-02
 2.59000e-01  1.23466e-03 -4.96072e-04  1.64086e-02
 2.60000e-01  1.25505e-03 -4.81663e-04  1.63336e-02
 2.61000e-01  1.31219e-03 -4.66334e-04  1.63433e-02
 2.62000e-01  1.33394e-03 -4.50090e-04  1.62855e-02
 2.63000e-01  1.39293e-03 -4.32978e-04  1.63132e-02
 2.64000e-01  1.41697e-03 -4.15008e-04  1.62739e-02
 2.65000e-01  1.47873e-03 -3.96233e-04  1.63209e-02
 2.66000e-01  1.50593e-03 -3.76665e-04  1.63015e-02
 2.67000e-01  1.57128e-03 -3.56359e-04  1.63688e-02
 2.68000e-01  1.60244e-03 -3.35330e-04  1.63700e-02
 2.69000e-01  1.67212e-03 -3.13635e-04  1.64581e-02
 2.70000e-01  1.70793e-03 -2.91290e-04  1.64802e-02
 2.71000e-01  1.78258e-03 -2.68353e-04  1.65894e-02
 2.72000e-01  1.82359e-03 -2.44842e-04  1.66324e-02
 2.73000e-01  1.90370e-03 -2.20816e-04  1.67623e-02
 2.74000e-01  1.95035e-03 -1.96294e-04  1.68255e-02
 2.75000e-01  2.03628e-03 -1.71340e-04  1.69752e-02
 2.76000e-01  2.08884e-03 -1.45977e-04  1.70576e-02
 2.77000e-01  2.18079e-03 -1.20272e-04  1.72258e-02
 2.78000e-01  2.23940e-03 -9.42544e-05  1.73257e-02
 2.79000e-01  2.33743e-03 -6.79992e-05  1.75104e-02
 2.80000e-01  2.40206e-03 -4.15429e-05  1.76258e-02
 2.81000e-01  2.50607e-03 -1.49701e-05  1.78247e-02
 2.82000e-01  2.57656e-03  1.16720e-05  1.79528e-02
 2.83000e-01  2.68633e-03  3.82871e-05  1.81631e-02
 2.84000e-01  2.76239e-03  6.48153e-05  1.83010e-02
 2.85000e-01  2.87754e-03  9.11466e-05  1.85194e-02
 2.86000e-01  2.95874e-03  1.17207e-04  1.86636e-02
 2.87000e-01  3.07881e-03  1.42871e-04  1.88866e-02
 2.88000e-01  3.16463e-03  1.68049e-04  1.90334e-02
 2.89000e-01  3.28904e-03  1.92602e-04  1.92572e-02
 2.90000e-01  3.37886e-03  2.16424e-04  1.94028e-02
 2.91000e-01  3.50697e-03  2.39361e-04  1.96234e-02
 2.92000e-01  3.60011e-03  2.61293e-04  1.97638e-02
 2.93000e-01  3.73120e-03  2.82054e-04  1.99771e-02
 2.94000e-01  3.82693e-03  3.01513e-04  2.01083e-02
 2.95000e-01  3.96025e-03  3.19492e-04  2.03105e-02
 2.96000e-01  4.05781e-03  3.35853e-04  2.04286e-02
 2.97000e-01  4.19259e-03  3.50414e-04  2.06159e-02
 2.98000e-01  4.29121e-03  3.63031e-04  2.07172e-02
 2.99000e-01  4.42670e-03  3.73520e-04  2.08862e-02
 3.00000e-01  4.52563e-03  3.81741e-04  2.09675e-02
 3.01000e-01  4.66108e-03  3.87512e-04  2.11151e-02
 3.02000e-01  4.75957e-03  3.90699e-04  2.11737e-02
 3.03000e-01  4.89426e-03  3.91129e-04  2.12974e-02
 3.04000e-01  4.99163e-03  3.88679e-04  2.13310e-02
 3.05000e-01  5.12487e-03  3.83187e-04  2.14289e-02
 3.06000e-01  5.22044e-03  3.74546e-04  2.14359e-02
 3.07000e-01  5.35159e-03  3.62611e-04  2.15067e-02
 3.08000e-01  5.44474e-03  3.47288e-04  2.14862e-02
 3.09000e-01  5.57318e-03  3.28453e-04  2.15293e-02
 3.10000e-01  5.66329e-03  3.06029e-04  2.14810e-02
 3.11000e-01  5.78841e-03  2.79907e-04  2.14965e-02
 3.12000e-01  5.87488e-03  2.50030e-04  2.14207e-02
 3.13000e-01  5.99609e-03  2.16305e-04  2.14092e-02
 3.14000e-01  6.07831e-03  1.78691e-04  2.13069e-02
 3.15000e-01  6.19498e-03  1.37109e-04  2.12694e-02
 3.16000e-01  6.27232e-03  9.15292e-05  2.11419e-02
 3.17000e-01  6.38380e-03  4.18862e-05  2.10800e-02
 3.18000e-01  6.45560e-03 -1.18387e-05  2.09289e-02
 3.19000e-01  6.56120e-03 -6.97028e-05  2.08445e-02
 3.20000e-01  6.62673e-03 -1.31716e-04  2.06717e-02
 3.21000e-01  6.72572e-03 -1.97927e-04  2.05667e-02
 3.22000e-01  6.78424e-03 -2.68339e-04  2.03742e-02
 3.23000e-01  6.87585e-03 -3.42994e-04  2.02506e-02
 3.24000e-01  6.92658e-03 -4.21886e-04  2.00404e-02
 3.25000e-01  7.01003e-03 -5.05049e-04  1.99000e-02
 3.26000e-01  7.05218e-03 -5.92467e-04  1.96741e-02
 3.27000e-01  7.12670e-03 -6.84162e-04  1.95188e-02
 3.28000e-01  7.15951e-03 -7.80107e-04  1.92787e-02
 3.29000e-01  7.22436e-03 -8.80307e-04  1.91102e-02
 3.30000e-01  7.24714e-03 -9.84717e-04  1.88576e-02
 3.31000e-01  7.30166e-03 -1.09332e-03  1.86772e-02
 3.32000e-01  7.31382e-03 -1.20606e-03  1.84133e-02
 3.33000e-01  7.35749e-03 -1.32289e-03  1.82222e-02
 3.34000e-01  7.35857e-03 -1.44372e-03  1.79482e-02
 3.35000e-01  7.39101e-03 -1.56848e-03  1.77474e-02
 3.36000e-01  7.38072e-03 -1.69706e-03  1.74640e-02
 3.37000e-01  7.40175e-03 -1.82935e-03  1.72544e-02
 3.38000e-01  7.38000e-03 -1.96521e-03  1.69624e-02
 3.39000e-01  7.38962e-03 -2.10452e-03  1.67444e-02
 3.40000e-01  7.35651e-03 -2.24708e-03  1.64443e-02
 3.41000e-01  7.35493e-03 -2.39276e-03  1.62185e-02
 3.42000e-01  7.31078e-03 -2.54135e-03  1.59107e-02
 3.43000e-01  7.29841e-03 -2.69268e-03  1.56774e-02
 3.44000e-01  7.24371e-03 -2.84652e-03  1.53622e-02
 3.45000e-01  7.22112e-03 -3.00269e-03  1.51218e-02
 3.46000e-01  7.15652e-03 -3.16095e-03  1.47996e-02
 3.47000e-01  7.12442e-03 -3.32111e-03  1.45523e-02
 3.48000e-01  7.05069e-03 -3.48294e-03  1.42233e-02
 3.49000e-01  7.00989e-03 -3.64623e-03  1.39694e-02
 3.50000e-01  6.92785e-03 -3.81077e-03  1.36338e-02
 3.51000e-01  6.87922e-03 -3.97637e-03  1.33736e-02
 3.52000e-01  6.78976e-03 -4.14282e-03  1.30319e-02
 3.53000e-01  6.73416e-03 -4.30995e-03  1.27657e-02
 3.54000e-01  6.63815e-03 -4.47756e-03  1.24181e-02
 3.55000e-01  6.57642e-03 -4.64553e-03  1.21462e-02
 3.56000e-01  6.47466e-03 -4.81369e-03  1.17931e-02
 3.57000e-01  6.40758e-03 -4.98191e-03  1.15161e-02
 3.58000e-01  6.30079e-03 -5.15008e-03  1.11580e-02
 3.59000e-01  6.22903e-03 -5.31812e-03  1.08763e-02
 3.60000e-01  6.11782e-03 -5.48592e-03  1.05136e-02
 3.61000e-01  6.04192e-03 -5.65344e-03  1.02276e-02
 3.62000e-01  5.92676e-03 -5.82062e-03  9.86095e-03
 3.63000e-01  5.84711e-03 -5.98745e-03  9.57129e-03
 3.64000e-01  5.72831e-03 -6.15390e-03  9.20116e-03
 3.65000e-01  5.64515e-03 -6.32001e-03  8.90838e-03
 3.66000e-01  5.52287e-03 -6.48577e-03  8.53537e-03
 3.67000e-01  5.43625e-03 -6.65126e-03  8.24006e-03
 3.68000e-01  5.31047e-03 -6.81651e-03  7.86475e-03
 3.69000e-01  5.22030e-03 -6.98163e-03  7.56748e-03
 3.70000e-01  5.09082e-03 -7.14669e-03  7.19047e-03
 3.71000e-01  4.99683e-03 -7.31182e-03  6.89184e-03
 3.72000e-01  4.86332e-03 -7.47712e-03  6.51371e-03
 3.73000e-01  4.76508e-03 -7.64277e-03  6.21430e-03
 3.74000e-01  4.62702e-03 -7.80890e-03  5.83562e-03
 3.75000e-01  4.52396e-03 -7.97570e-03  5.53599e-03
 3.76000e-01  4.38072e-03 -8.14333e-03  5.15734e-03
 3.77000e-01  4.27213e-03 -8.31201e-03  4.85807e-03
 3.78000e-01  4.12294e-03 -8.48191e-03  4.48001e-03
 3.79000e-01  4.00799e-03 -8.65326e-03  4.18166e-03
 3.80000e-01  3.85198e-03 -8.82626e-03  3.80475e-03
 3.81000e-01  3.72977e-03 -9.00115e-03  3.50790e-03
 3.82000e-01  3.56598e-03 -9.17812e-03  3.13271e-03
 3.83000e-01  3.43552e-03 -9.35741e-03  2.83792e-03
 3.84000e-01  3.26292e-03 -9.53920e-03  2.46505e-03
 3.85000e-01  3.12314e-03 -9.72370e-03  2.17291e-03
 3.86000e-01  2.94066e-03 -9.91110e-03  1.80295e-03
 3.87000e-01  2.79047e-03 -1.01016e-02  1.51410e-03
 3.88000e-01  2.59700e-03 -1.02953e-02  1.14769e-03
 3.89000e-01  2.43528e-03 -1.04923e-02  8.62762e-04
 3.90000e-01  2.22970e-03 -1.06928e-02  5.00565e-04
 3.91000e-01  2.05533e-03 -1.08968e-02  2.20249e-04
 3.92000e-01  1.83650e-03 -1.11044e-02 -1.37030e-04
 3.93000e-01  1.64834e-03 -1.13156e-02 -4.12012e-04
 3.94000e-01  1.41515e-03 -1.15304e-02 -7.63633e-04
 3.95000e-01  1.21209e-03 -1.17487e-02 -1.03252e-03
 3.96000e-01  9.63410e-04 -1.19705e-02 -1.37771e-03
 3.97000e-01  7.44339e-04 -1.21957e-02 -1.63972e-03
 3.98000e-01  4.79081e-04 -1.24240e-02 -1.97767e-03
 3.99000e-01  2.42911e-04 -1.26553e-02 -2.23199e-03
 4.00000e-01 -4.00074e-05 -1.28894e-02 -2.56190e-03
 4.01000e-01 -2.94347e-04 -1.31261e-02 -2.80773e-03
 4.02000e-01 -5.95986e-04 -1.33651e-02 -3.12880e-03
 4.03000e-01 -8.69544e-04 -1.36062e-02 -3.36535e-03
 4.04000e-01 -1.19094e-03 -1.38490e-02 -3.67682e-03
 4.05000e-01 -1.48473e-03 -1.40933e-02 -3.90338e-03
 4.06000e-01 -1.82689e-03 -1.43387e-02 -4.20460e-03
 4.07000e-01 -2.14190e-03 -1.45850e-02 -4.42055e-03
 4.08000e-01 -2.50577e-03 -1.48318e-02 -4.71097e-03
 4.09000e-01 -2.84293e-03 -1.50790e-02 -4.91586e-03
 4.10000e-01 -3.22941e-03 -1.53261e-02 -5.19511e-03
