# Time(s)     N            E            Z
 9.20000e-01 -1.10006e-20  1.79654e-04  4.98021e-04
 9.30000e-01  1.77906e-20 -2.90543e-04 -5.09179e-04
 9.40000e-01 -9.94904e-21  1.62480e-04  5.04439e-04
 9.50000e-01  1.91624e-20 -3.12946e-04 -5.08822e-04
 9.60000e-01 -8.65313e-21  1.41316e-04  5.11720e-04
 9.70000e-01  2.06755e-20 -3.37657e-04 -5.07930e-04
 9.80000e-01 -7.41111e-21  1.21033e-04  5.19108e-04
 9.90000e-01  2.18494e-20 -3.56828e-04 -5.07755e-04
 1.00000e+00 -6.85799e-21  1.11999e-04  5.24935e-04
 1.01000e+00  2.20108e-20 -3.59463e-04 -5.10059e-04
 1.02000e+00 -7.51456e-21  1.22722e-04  5.27867e-04
 1.03000e+00  2.09761e-20 -3.42565e-04 -5.15256e-04
 1.04000e+00 -9.15543e-21  1.49519e-04  5.28584e-04
 1.05000e+00  1.92944e-20 -3.15102e-04 -5.21861e-04
 1.06000e+00 -1.10913e-20  1.81135e-04  5.28802e-04
 1.07000e+00  1.76208e-20 -2.87770e-04 -5.28493e-04
 1.08000e+00 -1.27980e-20  2.09007e-04  5.29240e-04
 1.09000e+00  1.63290e-20 -2.66673e-04 -5.35127e-04
 1.10000e+00 -1.40361e-20  2.29227e-04  5.29448e-04
 1.11000e+00  1.55405e-20 -2.53795e-04 -5.42339e-04
 1.12000e+00 -1.47942e-20  2.41608e-04  5.29068e-04
 1.13000e+00  1.51691e-20 -2.47730e-04 -5.50085e-04
 1.14000e+00 -1.52275e-20  2.48683e-04  5.28516e-04
 1.15000e+00  1.50308e-20 -2.45472e-04 -5.57777e-04
 1.16000e+00 -1.55127e-20  2.53341e-04  5.28329e-04
 1.17000e+00  1.49768e-20 -2.44590e-04 -5.65076e-04
 1.18000e+00 -1.57653e-20  2.57467e-04  5.28619e-04
 1.19000e+00  1.49226e-20 -2.43704e-04 -5.72050e-04
 1.20000e+00 -1.60427e-20  2.61998e-04  5.29229e-04
 1.21000e+00  1.48362e-20 -2.42293e-04 -5.78858e-04
 1.22000e+00 -1.63538e-20  2.67078e-04  5.30056e-04
 1.23000e+00  1.47261e-20 -2.40495e-04 -5.85546e-04
 1.24000e+00 -1.66810e-20  2.72422e-04  5.31078e-04
 1.25000e+00  1.46110e-20 -2.38616e-04 -5.92166e-04
 1.26000e+00 -1.70099e-20  2.77792e-04  5.32174e-04
 1.27000e+00  1.44995e-20 -2.36794e-04 -5.98925e-04
 1.28000e+00 -1.73374e-20  2.83141e-04  5.33082e-04
 1.29000e+00  1.43905e-20 -2.35014e-04 -6.06084e-04
 1.30000e+00 -1.76671e-20  2.88525e-04  5.33614e-04
 1.31000e+00  1.42794e-20 -2.33200e-04 -6.13714e-04
 1.32000e+00 -1.80040e-20  2.94028e-04  5.33820e-04
 1.33000e+00  1.41608e-20 -2.31264e-04 -6.21695e-04
 1.34000e+00 -1.83539e-20  2.99741e-04  5.33830e-04
 1.35000e+00  1.40292e-20 -2.29115e-04 -6.29935e-04
 1.36000e+00 -1.87223e-20  3.05759e-04  5.33684e-04
 1.37000e+00  1.38787e-20 -2.26657e-04 -6.38448e-04
 1.38000e+00 -1.91156e-20  3.12181e-04  5.33330e-04
 1.39000e+00  1.37028e-20 -2.23783e-04 -6.47315e-04
 1.40000e+00 -1.95405e-20  3.19120e-04  5.32668e-04
 1.41000e+00  1.34942e-20 -2.20376e-04 -6.56649e-04
 1.42000e+00 -2.00050e-20  3.26707e-04  5.31585e-04
 1.43000e+00  1.32442e-20 -2.16295e-04 -6.66572e-04
 1.44000e+00 -2.05187e-20  3.35096e-04  5.29949e-04
 1.45000e+00  1.29424e-20 -2.11366e-04 -6.77226e-04
 1.46000e+00 -2.10935e-20  3.44483e-04  5.27612e-04
 1.47000e+00  1.25753e-20 -2.05371e-04 -6.88773e-04
 1.48000e+00 -2.17445e-20  3.55114e-04  5.24400e-04
 1.49000e+00  1.21259e-20 -1.98030e-04 -7.01409e-04
 1.50000e+00 -2.24913e-20  3.67311e-04  5.20095e-04
 1.51000e+00  1.15715e-20 -1.88976e-04 -7.15377e-04
 1.52000e+00 -2.33600e-20  3.81499e-04  5.14427e-04
 1.53000e+00  1.08820e-20 -1.77716e-04 -7.30990e-04
 1.54000e+00 -2.43859e-20  3.98252e-04  5.07042e-04
 1.55000e+00  1.00161e-20 -1.63576e-04 -7.48653e-04
 1.56000e+00 -2.56175e-20  4.18366e-04  4.97474e-04
 1.57000e+00  8.91615e-21 -1.45612e-04 -7.68908e-04
 1.58000e+00 -2.71240e-20  4.42968e-04  4.85097e-04
 1.59000e+00  7.49898e-21 -1.22468e-04 -7.92491e-04
 1.60000e+00 -2.90059e-20  4.73702e-04  4.69044e-04
 1.61000e+00  5.64183e-21 -9.21380e-05 -8.20432e-04
 1.62000e+00 -3.14144e-20  5.13035e-04  4.48090e-04
 1.63000e+00  3.15668e-21 -5.15526e-05 -8.54210e-04
 1.64000e+00 -3.45853e-20  5.64822e-04  4.20441e-04
